INFO 2024-10-07 18:58:35,702 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-07 18:58:35,703 autoreload Waiting for apps ready_event.
DEBUG 2024-10-07 18:58:35,739 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-07 18:58:35,762 autoreload Watching dir /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-10-07 18:58:35,763 autoreload Watching dir /Users/karansrinivas/Desktop/ChatBot/BackEnd/credit_card_bot/locale with glob **/*.mo.
DEBUG 2024-10-07 18:58:35,764 autoreload Watching dir /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-10-07 18:58:35,764 autoreload Watching dir /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2024-10-07 18:58:35,765 autoreload Watching dir /Users/karansrinivas/Desktop/ChatBot/BackEnd/credit_card_bot/users/locale with glob **/*.mo.
DEBUG 2024-10-07 18:58:35,769 autoreload Watching dir /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2024-10-07 18:58:35,805 utils (0.002) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-10-07 18:58:35,808 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-10-07 18:58:35,826 autoreload File /opt/anaconda3/lib/python3.12/encodings/utf_8.py first seen with mtime 1718723593.3805394
DEBUG 2024-10-07 18:58:35,826 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/utils/inspect.py first seen with mtime 1728321044.6251738
DEBUG 2024-10-07 18:58:35,827 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/utils/translation/__init__.py first seen with mtime 1728321044.6308925
DEBUG 2024-10-07 18:58:35,827 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/middleware/csrf.py first seen with mtime 1728321044.6046567
DEBUG 2024-10-07 18:58:35,827 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/core/cache/backends/locmem.py first seen with mtime 1728321044.5251524
DEBUG 2024-10-07 18:58:35,827 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/sqlparse/tokens.py first seen with mtime 1728321043.7829185
DEBUG 2024-10-07 18:58:35,827 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/models/sql/where.py first seen with mtime 1728321044.5821254
DEBUG 2024-10-07 18:58:35,827 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/transaction.py first seen with mtime 1728321044.5521963
DEBUG 2024-10-07 18:58:35,828 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/backends/sqlite3/schema.py first seen with mtime 1728321044.5643787
DEBUG 2024-10-07 18:58:35,828 autoreload File /opt/anaconda3/lib/python3.12/mimetypes.py first seen with mtime 1718723590.8325858
DEBUG 2024-10-07 18:58:35,828 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/db/migrations/exceptions.py first seen with mtime 1728321044.56504
DEBUG 2024-10-07 18:58:35,828 autoreload File /Users/karansrinivas/Desktop/ChatBot/BackEnd/env/lib/python3.12/site-packages/django/views/generic/__init__.py first seen with mtime 1728321044.6360734
